City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,Puerto Ayora,-0.7393,-90.3518,78.76,82,90,10.4,EC,2022-04-15 21:54:18
135,Thompson,55.7435,-97.8558,24.96,39,100,13.8,CA,2022-04-15 21:52:11
136,Moen,69.1304,18.6123,29.12,80,75,0.0,NO,2022-04-15 21:54:18
137,Khani,41.9563,42.9566,33.37,84,16,4.45,GE,2022-04-15 21:54:18
138,Atambua,-9.1061,124.8925,74.52,85,100,2.82,ID,2022-04-15 21:54:19
139,Benghazi,32.1167,20.0667,71.28,39,28,28.14,LY,2022-04-15 21:54:19
140,Goderich,43.7501,-81.7165,47.91,65,100,18.41,CA,2022-04-15 21:55:19
141,Luderitz,-26.6481,15.1594,57.99,71,0,16.37,NA,2022-04-15 21:55:20
142,Yuanli,24.4397,120.6535,72.25,82,75,13.8,TW,2022-04-15 21:55:20
143,Chokurdakh,70.6333,147.9167,9.63,93,100,4.74,RU,2022-04-15 21:55:20
144,Ostrovnoy,68.0531,39.5131,24.37,88,71,9.19,RU,2022-04-15 21:55:21
145,Sungaipenuh,-2.0833,101.3833,65.08,96,100,1.72,ID,2022-04-15 21:55:21
146,Impfondo,1.6381,18.0667,71.24,91,95,1.54,CG,2022-04-15 21:55:21
147,Bilma,18.6853,12.9164,87.58,7,76,1.43,NE,2022-04-15 21:55:22
148,Jaciara,-15.9653,-54.9683,73.54,89,26,1.99,BR,2022-04-15 21:55:22
149,Coihaique,-45.5752,-72.0662,57.81,82,75,4.61,CL,2022-04-15 21:55:22
150,Imperia,43.9667,7.7833,61.0,40,5,5.82,IT,2022-04-15 21:55:23
151,Launceston,-41.45,147.1667,53.8,94,100,4.61,AU,2022-04-15 21:55:23
152,Santa Rosa,14.3122,121.1114,80.58,80,79,4.47,PH,2022-04-15 21:55:23
153,Campoverde,-8.4753,-74.8058,73.09,74,77,3.65,PE,2022-04-15 21:55:24
154,Lac Du Bonnet,50.2536,-96.0612,22.26,89,100,13.94,CA,2022-04-15 21:50:43
155,Bhimunipatnam,17.8833,83.4333,81.91,81,98,11.1,IN,2022-04-15 21:55:24
156,Gladstone,-23.85,151.25,70.79,64,0,9.22,AU,2022-04-15 21:55:24
157,Lipetsk,52.6031,39.5708,47.25,66,99,6.44,RU,2022-04-15 21:51:10
158,Saint-Joseph,-21.3667,55.6167,73.78,83,36,13.4,RE,2022-04-15 21:55:25
159,Port Hedland,-20.3167,118.5667,75.25,83,11,4.61,AU,2022-04-15 21:55:25
160,Itaituba,-4.2761,-55.9836,89.76,62,40,5.75,BR,2022-04-15 21:55:25
161,Agadez,19.75,10.25,85.77,9,18,11.07,NE,2022-04-15 21:55:26
162,Dunedin,-45.8742,170.5036,56.8,77,79,14.0,NZ,2022-04-15 21:52:55
163,Juneau,58.3019,-134.4197,47.84,34,20,10.36,US,2022-04-15 21:51:00
164,Bang Krathum,16.5783,100.3003,82.89,43,10,5.55,TH,2022-04-15 21:55:26
165,Caravelas,-17.7125,-39.2481,75.7,83,100,14.83,BR,2022-04-15 21:55:27
166,Lahij,13.1667,44.5833,78.12,33,8,1.88,YE,2022-04-15 21:55:27
167,Qaanaaq,77.484,-69.3632,-2.88,94,100,7.07,GL,2022-04-15 21:55:27
168,Luanda,-8.8368,13.2343,77.0,78,75,9.22,AO,2022-04-15 21:55:28
169,Key Largo,25.0865,-80.4473,79.99,72,13,14.92,US,2022-04-15 21:55:28
170,Tilichiki,60.4667,166.1,22.24,85,94,5.61,RU,2022-04-15 21:55:28
171,Naron,43.5167,-8.1528,58.01,92,1,3.78,ES,2022-04-15 21:55:28
172,Fort Wellington,6.4,-57.6,78.24,82,73,10.09,GY,2022-04-15 21:55:29
173,Pacific Grove,36.6177,-121.9166,67.39,74,28,10.0,US,2022-04-15 21:55:29
174,Muhos,64.808,25.9931,29.98,94,31,2.13,FI,2022-04-15 21:55:29
175,Hualmay,-11.0964,-77.6139,69.57,77,27,14.03,PE,2022-04-15 21:55:30
176,Nanortalik,60.1432,-45.2371,26.94,72,89,6.85,GL,2022-04-15 21:55:30
177,Victoria,22.2855,114.1577,72.32,78,98,18.99,HK,2022-04-15 21:55:30
178,Tura,25.5198,90.2201,74.26,94,75,10.07,IN,2022-04-15 21:55:31
179,Constitucion,-35.3333,-72.4167,55.62,81,1,8.95,CL,2022-04-15 21:55:31
180,Svatove,49.4103,38.1503,49.24,77,71,7.43,UA,2022-04-15 21:55:31
181,Hithadhoo,-0.6,73.0833,82.63,67,73,2.91,MV,2022-04-15 21:55:32
182,Dikson,73.5069,80.5464,15.87,96,100,8.7,RU,2022-04-15 21:55:32
183,Cidreira,-30.1811,-50.2056,63.97,66,42,7.94,BR,2022-04-15 21:55:32
184,Namibe,-15.1961,12.1522,71.62,76,70,3.85,AO,2022-04-15 21:55:33
185,Hayden,47.766,-116.7866,44.96,62,0,5.75,US,2022-04-15 21:55:33
186,Shimanovsk,52.0,127.7,29.8,68,100,13.13,RU,2022-04-15 21:56:33
187,Lichinga,-13.3128,35.2406,64.49,88,75,5.75,MZ,2022-04-15 21:56:34
188,Waipawa,-41.4122,175.5153,61.03,66,12,23.67,NZ,2022-04-15 21:56:34
189,Lavrentiya,65.5833,-171.0,29.66,94,100,17.67,RU,2022-04-15 21:56:34
190,White Rock,49.0164,-122.8026,53.02,69,52,5.01,CA,2022-04-15 21:53:35
191,Wasilla,61.5814,-149.4394,43.74,46,0,5.75,US,2022-04-15 21:55:22
192,Warrington,53.3925,-2.5802,56.86,83,0,2.3,GB,2022-04-15 21:56:35
193,Saint Anthony,45.0205,-93.218,34.86,54,100,17.27,US,2022-04-15 21:56:35
194,Ambovombe,-25.1667,46.0833,75.51,81,97,4.41,MG,2022-04-15 21:56:35
195,Pisco,-13.7,-76.2167,70.02,73,0,21.85,PE,2022-04-15 21:56:36
196,Korla,41.7597,86.1469,46.71,14,0,3.38,CN,2022-04-15 21:56:36
197,Joaima,-16.6542,-41.0306,73.42,97,78,6.82,BR,2022-04-15 21:56:36
198,Sompeta,18.9333,84.6,81.12,79,89,12.28,IN,2022-04-15 21:56:37
199,Plettenberg Bay,-34.0527,23.3716,58.55,73,100,6.42,ZA,2022-04-15 21:56:37
200,Sitka,57.0531,-135.33,44.33,54,7,6.62,US,2022-04-15 21:56:37
201,Mumford,5.2618,-0.759,81.79,83,33,12.06,GH,2022-04-15 21:56:38
202,Karaj,35.8355,51.0103,57.72,61,0,13.8,IR,2022-04-15 21:56:38
203,Mount Gambier,-37.8333,140.7667,60.71,94,100,5.75,AU,2022-04-15 21:56:38
204,Yulara,-25.2406,130.9889,71.44,37,43,5.75,AU,2022-04-15 21:56:38
205,Kayerkan,69.3497,87.7602,20.89,95,87,9.82,RU,2022-04-15 21:56:39
206,Dingzhou,38.5131,114.9956,41.11,37,75,6.24,CN,2022-04-15 21:56:39
207,Puerto Escondido,15.85,-97.0667,87.06,57,66,7.72,MX,2022-04-15 21:56:39
208,Ust-Omchug,61.15,149.6333,11.55,88,100,3.67,RU,2022-04-15 21:56:40
209,Galle,6.0367,80.217,80.42,81,13,3.42,LK,2022-04-15 21:56:40
210,Yuli,9.6989,10.2744,84.4,53,100,4.99,NG,2022-04-15 21:56:40
211,Kocevje,45.6433,14.8633,53.83,97,95,1.81,SI,2022-04-15 21:56:41
212,Jacqueville,5.2052,-4.4146,81.03,83,93,9.17,CI,2022-04-15 21:56:41
213,Bilgoraj,50.5411,22.722,48.36,94,65,5.75,PL,2022-04-15 21:56:41
214,Sorong,-0.8833,131.25,80.1,84,100,8.43,ID,2022-04-15 21:56:42
215,Sabang,5.8933,95.3214,83.19,72,99,3.98,ID,2022-04-15 21:56:42
216,Olafsvik,64.8945,-23.7142,45.82,86,100,30.85,IS,2022-04-15 21:56:42
217,Port Hawkesbury,45.6169,-61.3485,40.17,96,100,16.11,CA,2022-04-15 21:56:42
218,Russell,32.3502,-85.1999,81.68,30,0,7.25,US,2022-04-15 21:56:43
219,Cherskiy,68.75,161.3,14.49,94,98,2.64,RU,2022-04-15 21:56:43
220,Saint-Pierre,-21.3393,55.4781,75.9,78,0,6.91,RE,2022-04-15 21:56:43
221,Shimoda,34.6667,138.95,47.1,89,100,15.32,JP,2022-04-15 21:56:44
222,Aklavik,68.2191,-135.0107,5.9,77,96,5.46,CA,2022-04-15 21:56:44
223,Kabalo,-6.05,26.9167,69.12,99,100,3.29,CD,2022-04-15 21:56:44
224,Tasiilaq,65.6145,-37.6368,34.88,98,100,7.83,GL,2022-04-15 21:56:45
225,Namatanai,-3.6667,152.4333,81.99,77,37,5.26,PG,2022-04-15 21:56:45
226,Dryden,49.7833,-92.7503,19.69,68,100,13.8,CA,2022-04-15 21:56:45
227,Vardo,70.3705,31.1107,35.74,88,100,24.34,NO,2022-04-15 21:56:46
228,Longyearbyen,78.2186,15.6401,26.44,93,100,11.5,SJ,2022-04-15 21:56:46
229,Bria,6.5423,21.9863,71.26,92,100,6.22,CF,2022-04-15 21:56:46
230,Boende,-0.2167,20.8667,70.25,97,100,1.48,CD,2022-04-15 21:56:47
231,Ismailia,30.6043,32.2723,60.76,70,82,9.01,EG,2022-04-15 21:53:26
232,The Valley,18.217,-63.0578,80.74,65,20,17.27,AI,2022-04-15 21:56:47
233,Upernavik,72.7868,-56.1549,-8.39,97,10,9.13,GL,2022-04-15 21:56:47
234,Camacupa,-12.0167,17.4833,62.24,94,99,0.89,AO,2022-04-15 21:57:48
235,Nelson Bay,-32.7167,152.15,64.0,96,97,1.99,AU,2022-04-15 21:55:04
236,Jonesboro,35.8423,-90.7043,74.7,72,100,10.33,US,2022-04-15 21:56:58
237,Matara,5.9485,80.5353,78.78,86,13,2.73,LK,2022-04-15 21:57:48
238,Omboue,-1.5746,9.2618,77.47,89,100,2.64,GA,2022-04-15 21:57:48
239,Pavlodar,52.3,76.95,46.2,42,0,11.18,KZ,2022-04-15 21:57:49
240,Laguna,38.421,-121.4238,72.75,45,20,10.36,US,2022-04-15 21:57:49
241,Jumla,29.2747,82.1838,44.51,50,1,6.02,NP,2022-04-15 21:56:03
242,Tezu,27.9167,96.1667,62.51,89,100,7.47,IN,2022-04-15 21:57:49
243,East London,-33.0153,27.9116,62.04,64,100,12.55,ZA,2022-04-15 21:55:44
244,Vallenar,-28.5708,-70.7581,66.13,48,0,5.21,CL,2022-04-15 21:57:50
245,Maningrida,-12.0667,134.2667,77.36,85,75,9.06,AU,2022-04-15 21:57:50
246,Porto Nacional,-10.7081,-48.4172,84.2,89,100,0.49,BR,2022-04-15 21:57:50
247,Atyrau,47.1167,51.8833,44.62,93,15,6.71,KZ,2022-04-15 21:57:51
248,Sivas,39.7916,37.0019,37.8,86,8,3.42,TR,2022-04-15 21:57:51
249,Sao Joao Da Barra,-21.6403,-41.0511,73.49,62,97,20.74,BR,2022-04-15 21:55:45
250,Piacabucu,-10.4056,-36.4344,81.77,77,67,16.87,BR,2022-04-15 21:57:51
251,Pleshanovo,52.8333,53.4833,38.79,90,100,12.55,RU,2022-04-15 21:57:52
252,Sola,-13.8833,167.55,83.07,84,40,0.0,VU,2022-04-15 21:57:52
253,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,55,75,2.24,RU,2022-04-15 21:57:53
254,Rocha,-34.4833,-54.3333,60.01,86,77,5.17,UY,2022-04-15 21:57:53
255,Anapskaya,44.89,37.38,48.43,87,75,8.95,RU,2022-04-15 21:57:54
256,Gat,31.61,34.7642,64.4,66,88,3.62,IL,2022-04-15 21:57:03
257,Itarema,-2.9248,-39.9167,78.75,82,74,6.67,BR,2022-04-15 21:57:54
258,Tandil,-37.3217,-59.1332,57.69,60,0,5.01,AR,2022-04-15 21:57:54
259,Brusque,-27.0981,-48.9175,69.57,85,37,1.41,BR,2022-04-15 21:57:55
260,Thomasville,35.8826,-80.082,73.08,22,51,1.99,US,2022-04-15 21:57:55
261,Tahta,26.7693,31.5021,74.25,17,0,6.69,EG,2022-04-15 21:57:55
262,Rawlins,41.7911,-107.2387,44.35,47,99,29.26,US,2022-04-15 21:57:56
263,Takoradi,4.8845,-1.7554,80.46,83,49,9.22,GH,2022-04-15 21:57:56
264,Hasaki,35.7333,140.8333,46.8,86,100,33.17,JP,2022-04-15 21:57:56
265,Beringovskiy,63.05,179.3167,30.79,97,100,21.94,RU,2022-04-15 21:57:57
266,Cayenne,4.9333,-52.3333,81.09,1,20,8.05,GF,2022-04-15 21:53:03
267,San Andres,12.5847,-81.7006,86.02,66,20,14.97,CO,2022-04-15 21:57:28
268,Souillac,-20.5167,57.5167,77.38,78,75,14.97,MU,2022-04-15 21:57:57
269,Sekoma,-24.4,23.8833,65.39,73,92,10.83,BW,2022-04-15 21:57:58
270,Coahuayana,18.7333,-103.6833,87.12,45,100,6.96,MX,2022-04-15 21:57:58
271,Lata,40.1629,-8.3327,53.82,87,100,0.72,PT,2022-04-15 21:57:58
272,Celendin,-6.8703,-78.1517,64.92,67,55,5.61,PE,2022-04-15 21:57:58
273,Iskateley,67.6803,53.1512,9.0,98,96,5.39,RU,2022-04-15 21:57:59
274,Okhotsk,59.3833,143.3,15.53,84,52,7.29,RU,2022-04-15 21:57:59
275,Speightstown,13.25,-59.65,83.01,79,84,19.1,BB,2022-04-15 21:57:59
276,Arlit,18.7369,7.3853,85.84,9,9,9.84,NE,2022-04-15 21:58:00
277,Posevnaya,54.3006,83.3297,33.48,84,2,6.73,RU,2022-04-15 21:58:00
278,Xining,36.6167,101.7667,37.99,81,98,2.13,CN,2022-04-15 21:58:00
279,La Tour-De-Peilz,46.4531,6.8586,62.11,74,52,4.0,CH,2022-04-15 21:59:01
280,Margate,51.3813,1.3862,50.11,89,48,1.01,GB,2022-04-15 21:59:01
281,Kaseda,31.4167,130.3167,56.5,61,98,15.64,JP,2022-04-15 21:59:01
282,Vinkovci,45.2883,18.8047,55.26,76,0,8.05,HR,2022-04-15 21:59:02
283,Pemberton,50.3164,-122.8027,40.69,49,83,2.24,CA,2022-04-15 21:59:02
284,Ahipara,-35.1667,173.1667,64.22,58,99,3.44,NZ,2022-04-15 21:59:02
285,Karpathos,35.507,27.2132,60.76,72,100,5.75,GR,2022-04-15 21:59:03
286,Moose Factory,51.2585,-80.6094,39.2,75,100,24.16,CA,2022-04-15 21:59:03
287,Ponta Delgada,37.7333,-25.6667,63.32,88,40,6.91,PT,2022-04-15 21:59:04
288,Ratnagiri,16.9833,73.3,80.06,80,4,4.79,IN,2022-04-15 21:59:04
289,Sambava,-14.2667,50.1667,76.39,90,87,10.65,MG,2022-04-15 21:59:04
290,Merrill,45.1805,-89.6835,33.58,50,75,18.41,US,2022-04-15 21:57:04
291,Kidal,18.4411,1.4078,83.66,11,3,13.27,ML,2022-04-15 21:59:05
292,Pevek,69.7008,170.3133,14.02,89,29,2.53,RU,2022-04-15 21:59:05
293,Verkhnyaya Inta,65.9811,60.3094,20.01,95,100,7.25,RU,2022-04-15 21:59:05
294,Berlevag,70.8578,29.0864,35.4,97,100,27.36,NO,2022-04-15 21:57:49
295,Mandali,33.7499,45.5541,66.88,15,58,8.59,IQ,2022-04-15 21:59:06
