City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Kapit,MY,85.89,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
572,Dingle,PH,84.9,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
585,Sabang,ID,83.86,broken clouds,5.8933,95.3214,Hotel Citra
589,Kilindoni,TZ,81.18,light rain,-7.9139,39.6668,Bustani B&B
597,Nisia Floresta,BR,81.41,light rain,-6.0911,-35.2086,Rancho Crepusculo
598,Banikoara,BJ,80.46,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
599,Honiara,SB,85.96,overcast clouds,-9.4333,159.95,Heritage Park Hotel
604,Roura,GF,80.96,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
606,Wamba,NG,76.55,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
616,Ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
619,Bintulu,MY,82.81,broken clouds,3.1667,113.0333,900 Boutique INN
621,Chalmette,US,80.6,scattered clouds,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
624,Robertsport,LR,79.52,light rain,6.7533,-11.3686,Kwepunha Retreat
633,Bubaque,GW,75.09,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
646,Loandjili,CG,77.11,few clouds,-4.7561,11.8578,Résidence ARCHANGE
648,Coolum Beach,AU,75.11,scattered clouds,-26.5333,153.1,Coolum Beach Resort
659,Padang,ID,86.05,scattered clouds,-0.9492,100.3543,Mercure Padang
668,Sigli,ID,83.25,scattered clouds,5.3848,95.9609,Losmen Dua Mali
669,Atar,MR,77.16,clear sky,20.5169,-13.0499,Oumou Elghoura
671,Salinopolis,BR,78.01,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
675,San Juan Del Sur,NI,83.3,clear sky,11.2529,-85.8705,Nuestra Casa
