City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
225,Vanimo,-2.6741,141.3028,86.56,broken clouds,65,54,4.65,PG
226,Lusambo,-4.9667,23.45,69.17,overcast clouds,99,100,1.03,CD
227,Solnechnyy,50.7214,136.6319,31.23,light snow,87,100,8.84,RU
228,Kruisfontein,-34.0033,24.7314,58.89,clear sky,92,0,3.44,ZA
229,Deputatskiy,69.3,139.9,11.46,overcast clouds,88,100,4.05,RU
230,Banda Aceh,5.5577,95.3222,83.55,broken clouds,72,56,5.21,ID
231,Sao Filipe,14.8961,-24.4956,70.5,few clouds,80,16,7.61,CV
232,Chardara,41.2547,67.9692,66.34,overcast clouds,48,100,8.55,KZ
233,Cap Malheureux,-19.9842,57.6142,76.46,broken clouds,86,73,5.99,MU
234,Luderitz,-26.6481,15.1594,61.7,clear sky,62,0,11.81,NA
235,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.79,clear sky,33,0,8.95,RU
236,Berbera,10.4396,45.0143,81.03,scattered clouds,81,33,1.21,SO
237,Cayenne,4.9333,-52.3333,81.09,few clouds,1,20,8.01,GF
238,Princeton,25.5384,-80.4089,78.82,clear sky,84,0,6.91,US
239,Margate,51.3813,1.3862,50.31,broken clouds,83,52,11.48,GB
240,Tateyama,34.9833,139.8667,61.11,overcast clouds,59,100,10.11,JP
241,Nelson Bay,-32.7167,152.15,73.45,clear sky,66,9,3.94,AU
242,Kaputa,-8.4689,29.6619,66.4,moderate rain,94,90,2.68,ZM
243,Brigantine,39.4101,-74.3646,58.05,light rain,89,100,17.27,US
244,Qarqin,37.4185,66.0436,67.96,broken clouds,39,76,7.81,AF
245,Saint George,37.1041,-113.5841,73.63,clear sky,20,0,14.97,US
246,Ziarat,30.3823,67.7282,60.48,broken clouds,14,67,1.16,PK
247,Besancon,47.2488,6.0182,43.79,clear sky,41,3,13.82,FR
248,Maragogi,-9.0122,-35.2225,78.73,overcast clouds,88,92,7.4,BR
249,Sao Joao Da Barra,-21.6403,-41.0511,69.37,scattered clouds,76,34,10.2,BR
250,Petatlan,17.5167,-101.2667,80.4,clear sky,74,10,3.18,MX
251,Rawicz,51.6095,16.8585,34.14,scattered clouds,76,44,5.1,PL
252,Linxia,35.6003,103.2064,38.71,overcast clouds,61,100,3.38,CN
253,Karabash,55.4808,60.2157,30.25,scattered clouds,81,34,1.99,RU
254,Zambrow,52.9855,22.2432,32.34,broken clouds,85,77,5.73,PL
255,Kazanskoye,55.6448,69.235,41.9,scattered clouds,77,29,3.94,RU
256,Pandhurna,21.6,78.5167,89.76,clear sky,15,0,7.4,IN
257,General Roca,-39.0333,-67.5833,55.62,clear sky,63,4,14.85,AR
258,Timra,62.487,17.3257,33.48,broken clouds,93,55,3.44,SE
259,Nabire,-3.3667,135.4833,85.89,scattered clouds,69,44,4.59,ID
260,Wenatchee,47.4235,-120.3103,48.54,overcast clouds,63,100,8.01,US
261,Henties Bay,-22.116,14.2845,59.63,broken clouds,82,83,5.41,NA
262,Port Lincoln,-34.7333,135.8667,66.49,light rain,74,100,9.08,AU
263,Forssa,60.8146,23.6215,29.68,scattered clouds,85,43,3.62,FI
264,Avera,33.194,-82.5271,63.91,overcast clouds,93,100,0.98,US
265,Kamphaeng Phet,16.25,99.5,91.13,clear sky,43,5,1.95,TH
266,Psygansu,43.4194,43.7936,44.78,clear sky,70,0,2.77,RU
267,Ust-Tsilma,65.441,52.1498,25.09,light snow,96,100,5.95,RU
268,Comodoro Rivadavia,-45.8667,-67.5,46.26,clear sky,76,0,6.91,AR
269,Marshall,34.3834,-86.3333,64.72,scattered clouds,87,40,0.0,US
270,Suhl,50.6,10.7,32.47,scattered clouds,84,40,3.02,DE
271,Carnarvon,-24.8667,113.6333,81.03,overcast clouds,49,92,19.73,AU
272,Jalu,29.0331,21.5482,70.93,overcast clouds,44,100,14.83,LY
273,Palora,-1.7,-77.9333,66.34,light rain,98,93,2.39,EC
274,Iguatemi,-23.6803,-54.5611,61.16,clear sky,85,5,3.62,BR
275,Lutin,49.5584,17.1357,37.94,few clouds,84,20,6.93,CZ
276,Esso,55.9333,158.7,25.77,broken clouds,67,54,2.19,RU
277,Coihaique,-45.5752,-72.0662,44.49,few clouds,92,11,1.3,CL
278,Leningradskiy,69.3833,178.4167,14.5,overcast clouds,88,97,8.72,RU
279,Constitucion,-35.3333,-72.4167,54.32,clear sky,75,0,3.02,CL
280,Lorengau,-2.0226,147.2712,84.2,broken clouds,74,55,5.75,PG
281,Khonsa,27.0167,95.5667,71.24,moderate rain,70,8,2.06,IN
282,Mackay,-21.15,149.2,83.68,clear sky,60,5,15.08,AU
283,Kahului,20.8947,-156.47,78.82,overcast clouds,53,100,4.61,US
284,Pundaguitan,6.3711,126.1689,82.0,broken clouds,73,74,2.57,PH
285,Pyaozerskiy,65.8333,31.1667,32.38,overcast clouds,83,100,9.06,RU
286,Puerto Carreno,6.189,-67.4859,80.74,overcast clouds,71,100,6.13,CO
287,Hualmay,-11.0964,-77.6139,66.58,overcast clouds,84,99,8.79,PE
288,Sault Sainte Marie,46.5168,-84.3333,26.89,overcast clouds,74,100,12.66,CA
289,Brae,60.3964,-1.353,46.17,overcast clouds,94,100,16.02,GB
290,Saint-Pierre,-21.3393,55.4781,73.08,clear sky,80,0,5.75,RE
291,Souillac,-20.5167,57.5167,76.68,overcast clouds,84,92,12.55,MU
292,Norman Wells,65.282,-126.8329,16.0,overcast clouds,79,88,2.66,CA
293,Vila Velha,-20.3297,-40.2925,75.15,clear sky,80,0,11.5,BR
294,Ovsyanka,55.9575,92.5519,61.77,broken clouds,70,73,7.87,RU
295,Bambous Virieux,-20.3428,57.7575,76.21,light rain,82,63,13.76,MU
296,Zaragoza,41.6561,-0.8773,60.03,clear sky,52,0,16.11,ES
297,Mahibadhoo,3.7833,72.9667,83.66,overcast clouds,75,95,9.98,MV
298,Ostrovnoy,68.0531,39.5131,35.24,light snow,97,100,21.3,RU
299,Komsomolskiy,40.4272,71.7189,61.52,broken clouds,44,81,4.61,UZ
300,Husavik,66.0449,-17.3389,40.93,broken clouds,88,82,8.37,IS
301,Luena,-11.7833,19.9167,59.94,overcast clouds,98,98,3.27,AO
302,Faanui,-16.4833,-151.75,81.34,light rain,72,6,11.7,PF
303,Kota Belud,6.351,116.4305,85.15,broken clouds,64,60,4.34,MY
304,Pacsa,46.7198,17.014,43.23,clear sky,52,0,16.11,HU
305,Wairoa,-39.0333,177.3667,63.55,overcast clouds,65,98,7.0,NZ
306,Kendari,-3.945,122.4989,81.09,overcast clouds,85,100,1.14,ID
307,Erzin,36.9559,36.2,58.44,few clouds,51,15,3.33,TR
308,Narsaq,60.9167,-46.05,32.22,clear sky,84,9,1.57,GL
309,Cidreira,-30.1811,-50.2056,66.34,overcast clouds,75,99,6.89,BR
310,Eruwa,7.5333,3.4167,77.32,light rain,83,100,3.42,NG
311,Amapa,1.0,-52.0,71.94,overcast clouds,98,100,2.19,BR
312,Yulara,-25.2406,130.9889,84.04,clear sky,30,5,11.5,AU
313,Wanaka,-44.7,169.15,56.1,overcast clouds,49,100,1.99,NZ
314,Kavala,40.9397,24.4019,60.85,overcast clouds,67,100,1.01,GR
315,Nassau,40.7507,-73.5829,51.69,light rain,72,100,13.8,US
316,Nome,64.5011,-165.4064,33.87,overcast clouds,75,100,18.41,US
317,Kawalu,-7.3817,108.2082,80.65,overcast clouds,77,99,1.88,ID
318,Chimore,-16.9833,-65.1333,65.44,scattered clouds,85,40,2.57,BO
319,Kuzino,57.0224,59.4412,27.46,overcast clouds,83,88,4.99,RU
320,Leon,21.1167,-101.6667,82.45,overcast clouds,11,100,8.28,MX
321,Venado Tuerto,-33.7456,-61.9688,60.76,clear sky,51,8,5.41,AR
322,Sayat,38.7839,63.8803,66.78,few clouds,52,13,10.83,TM
323,Mezen,65.8522,44.24,31.19,light snow,97,100,7.2,RU
324,Kenai,60.5544,-151.2583,45.03,overcast clouds,59,100,6.91,US
325,Mwanza,-2.5167,32.9,67.42,overcast clouds,88,100,3.09,TZ
326,Bainbridge,47.6262,-122.5212,46.78,overcast clouds,74,100,10.36,US
327,East London,-33.0153,27.9116,61.38,overcast clouds,77,100,6.06,ZA
328,Xining,36.6167,101.7667,38.14,overcast clouds,68,100,4.36,CN
329,Udarnyy,54.3409,42.8611,34.38,overcast clouds,93,100,9.19,RU
330,Timizart,36.8,4.2667,51.89,clear sky,73,0,5.26,DZ
331,Lanzhou,36.0564,103.7922,44.91,overcast clouds,38,100,2.37,CN
332,Richards Bay,-28.783,32.0377,63.59,overcast clouds,88,100,7.27,ZA
333,Lake Station,41.575,-87.2389,38.08,overcast clouds,75,100,10.42,US
334,Jeremie,18.65,-74.1167,75.56,overcast clouds,84,98,5.86,HT
335,Marinette,45.1,-87.6307,30.69,overcast clouds,59,100,8.05,US
336,Kinsale,51.7075,-8.5306,51.24,light rain,93,100,14.97,IE
337,Soeng Sang,14.4264,102.4606,85.69,overcast clouds,57,100,6.15,TH
338,Tuatapere,-46.1333,167.6833,57.31,overcast clouds,52,86,2.59,NZ
339,Dimitrovgrad,54.2139,49.6184,41.81,moderate rain,76,100,10.96,RU
340,Cuddapah,14.4667,78.8167,87.33,broken clouds,51,53,4.43,IN
341,Yerbogachen,61.2767,108.0108,39.36,overcast clouds,96,100,11.01,RU
342,Rincon,32.296,-81.2354,71.85,overcast clouds,73,100,5.75,US
343,Acari,-15.4311,-74.6158,69.13,overcast clouds,78,97,4.27,PE
344,San Vicente,-26.6167,-54.1333,52.61,clear sky,91,8,2.62,AR
345,Kamenka,51.3223,42.7678,50.22,overcast clouds,78,100,12.08,RU
346,Hofn,64.2539,-15.2082,46.2,overcast clouds,97,99,6.78,IS
347,Vilyuysk,63.7553,121.6247,28.13,broken clouds,79,67,8.5,RU
